Trade_Num,Datetime,Timestamp,Block,Price,Lower,Upper,Holder_PNL,LP_PNL,IL,Fees,Fee-IL,AMM_PNL,Holder_PNL(%),LP_PNL(%),IL(%),Fees(%),Fee-IL(%),AMM_PNL(%)
,2021-09-21 06:59:44,1632178784.0,13265491.0,2983.9481957487765,2430.8903048144384,4096.9036151471455,-2644.7665721798403,-2967.7355475369986,322.96897535715834,354.58702953586624,31.618054178707894,-2613.1485180011323,-2.64476657217984,-2.9677355475369986,0.32296897535715835,0.35458702953586624,0.031618054178707895,-2.613148518001132
12,2021-09-21 07:59:27,1632182367.0,13265752.0,2966.0990001508635,2275.63895113962,3835.250577629517,,,,,,,,,,,,
,2021-09-22 04:59:05,1632257945.0,13271448.0,2761.7131432798114,2275.63895113962,3835.250577629517,-3076.714865322836,-3532.1007055945374,455.38584027170145,479.73595543361637,24.350115161914914,-3052.364750160921,-3.076714865322836,-3.5321007055945373,0.4553858402717015,0.4797359554336164,0.024350115161914914,-3.0523647501609212
13,2021-09-22 05:59:53,1632261593.0,13271725.0,2824.8352980799054,2168.9935767521238,3655.5156800894956,,,,,,,,,,,,
,2021-09-22 23:56:17,1632326177.0,13276482.0,3001.304512147236,2168.9935767521238,3655.5156800894956,2703.1904999593826,2364.5870056176354,338.60349434174714,266.45055358117537,-72.15294076057177,2631.037559198811,2.7031904999593825,2.3645870056176355,0.33860349434174714,0.26645055358117536,-0.07215294076057177,2.631037559198811
14,2021-09-23 00:58:52,1632329932.0,13276760.0,3039.6622174947915,2344.938957666441,3952.045418888768,,,,,,,,,,,,
,2021-09-24 17:59:59,1632477599.0,13287841.0,2863.2272174493946,2344.938957666441,3952.045418888768,-2631.259836617639,-2951.046809690597,319.78697307295806,371.13084827561715,51.34387520265909,-2579.91596141498,-2.6312598366176387,-2.951046809690597,0.31978697307295806,0.37113084827561715,0.051343875202659095,-2.57991596141498
15,2021-09-24 18:58:41,1632481121.0,13288089.0,2837.2913337838722,2195.176976740559,3699.6439016949753,,,,,,,,,,,,
,2021-09-26 17:58:55,1632650335.0,13300738.0,2985.7390123181385,2195.176976740559,3699.6439016949753,2327.760286961915,2088.951989463443,238.8082974984718,606.8190683892012,368.0107708907294,2695.7710578526444,2.327760286961915,2.088951989463443,0.2388082974984718,0.6068190683892012,0.3680107708907294,2.6957710578526446
16,2021-09-26 18:59:27,1632653967.0,13300992.0,2959.285152066162,2289.333141639349,3858.33009646002,,,,,,,,,,,,
,2021-09-27 08:58:55,1632704335.0,13304806.0,3131.915824088442,2289.333141639349,3858.33009646002,2674.2993386889284,2369.17169447364,305.12764421528846,105.35536697633455,-199.7722772389539,2474.5270614499746,2.6742993386889284,2.36917169447364,0.30512764421528843,0.10535536697633455,-0.1997722772389539,2.4745270614499746
17,2021-09-27 09:59:57,1632707997.0,13305075.0,3156.4390576595615,2430.8903048144384,4121.5576924280585,,,,,,,,,,,,
,2021-09-28 00:56:34,1632761794.0,13309018.0,3004.3071676066324,2430.8903048144384,4121.5576924280585,-2257.7909700385935,-2481.054010645312,223.26304060671828,82.86383079000188,-140.3992098167164,-2398.19017985531,-2.2577909700385934,-2.4810540106453116,0.22326304060671828,0.08286383079000188,-0.14039920981671639,-2.39819017985531
18,2021-09-28 01:56:26,1632765386.0,13309300.0,2998.3048576924984,2303.1097401385314,3881.5485017018973,,,,,,,,,,,,
,2021-09-29 00:56:51,1632848211.0,13315437.0,2822.858704087906,2303.1097401385314,3881.5485017018973,-2617.4765943961684,-2943.247109914373,325.7705155182048,212.65224178617188,-113.11827373203289,-2730.594868128201,-2.617476594396168,-2.943247109914373,0.3257705155182048,0.21265224178617187,-0.11311827373203288,-2.7305948681282013
19,2021-09-29 01:41:38,1632850898.0,13315639.0,2824.552842795626,2182.04600372779,3677.5136020677696,,,,,,,,,,,,
